customer_code,customer_name,city,address1,postal,bp_salesperson,category
1004086,Elma Electronic AG,Fremont,44350 S. Grimmer Blvd,94538,Steven Elam,BP rep is INACTIVE
1009192,Emerald EMS,San Jose ,2243 Lundy Avenue ,95131,Anthoney Bramante,BP rep is INACTIVE
1010287,EnPro,Costa Mesa, 225 Paularino Avenue,92626,Thomas Nelson,BP rep is INACTIVE
1005821,"Energy Labs, Inc.",San Diego,1695 Cactus Road,92154,Pablo Hernandez,BP rep is INACTIVE
1010613,Enlighted,Santa Clara,3979 Freedom Cir.,95054,Katrina Riobuya,BP rep is INACTIVE
1003044,Ensign-Bickford Aerospace,Moorpark,,,Chad Swygert,BP rep is INACTIVE
1009175,Epson America,Los Alamitos,3131 Katella Avenue,90720,Anthoney Bramante,BP rep is INACTIVE
1009662,Extreme Networks,San Jose,6480 Via Del Oro,95119,Anthoney Bramante,BP rep is INACTIVE
1008823,FUJITSU,Sunnyvale,1270 East Arques Avenue,94085,Gabriel Cisneros,BP rep is INACTIVE
1009191,Firan Technology Group Corp.,Chatsworth,20750 Marilla St,91311,Sara Shelby,BP rep is INACTIVE
1003329,First Choice Components,Irvine,18242 Mc Durmott W. Suite D.,92614,Steven Elam,BP rep is INACTIVE
1004816,"Fitbit, Inc",San Francisco,199 Fremont St,94105,Nathan Matt,BP rep is INACTIVE
1001024,Flex ,MILPITAS,FLEXTRONICS INTERNATIONAL USA INC,95035,Cynthia Mozqueda,BP rep is INACTIVE
1001024,Flex ,,1665 MacArthur Blvd Costa Mesa,92626,Cynthia Mozqueda,BP rep is INACTIVE
1008454,Flock Safety,Fremont,47951 Westinghouse Dr,94539,Sarah Colley,BP rep is INACTIVE
1008454,Flock Safety,San Francisco,1501 Vermont St,94107,Sarah Colley,BP rep is INACTIVE
1005076,Flux Power,Vista,2685 S. Melrose Drive,92081,Colton Hammond,BP rep is INACTIVE
1008697,FormFactor Inc.,Livermore,7005 Southfront Road,94551,Gabriel Cisneros,BP rep is INACTIVE
1005071,Fortinet,Sunnyvale,899 Kifer Rd,94086,Colton Hammond,BP rep is INACTIVE
1009892,Full Swing Golf,Carlsbad,1905 Aston Ave,92008,Mark Pollard,BP rep is INACTIVE
1002736,GE Healthcare,San Diego,750 11th Avenue,92101,Danielle Slaughter,BP rep is INACTIVE
1007646,GarrettCom,Fremont,255 Fourier Avenue,94539,Romey Kelso,BP rep is INACTIVE
1005314,General Dynamics,Healdsburg,,95448,Colton Hammond,BP rep is INACTIVE
1005314,General Dynamics,San Diego,,92108,Colton Hammond,BP rep is INACTIVE
1005314,General Dynamics,San Jose,2688 Orchard Parkway,95134,Colton Hammond,BP rep is INACTIVE
1005314,General Dynamics,San Leandro,2950 Merced St #131,94577,Colton Hammond,BP rep is INACTIVE
1005314,General Dynamics,folsom,950 Iron Point Road,95630,Colton Hammond,BP rep is INACTIVE
1001246,Gentex,Rancho Cucamonga,9859 7th Street,91730,Steven Elam,BP rep is INACTIVE
1004223,Global IC Trading Group,Laguna Hills,26051 Merit Circle,92653,Steven Elam,BP rep is INACTIVE
1008908,Google,Mountain View,"Google Building 40, 1600 Amphitheatre Pkwy, ",94043,Pablo Hernandez,BP rep is INACTIVE
1005075,Gorilla Circuits,San Jose,1445 Oakland Rd,95112,Colton Hammond,BP rep is INACTIVE
1012148,Green Circuits,"San Jose,",1130 Ringwood Ct.  CA ,95131,Mahdi Ezzekmi,BP rep is INACTIVE
1006999,"HM Electronics, Inc",Carlsbad,2848 Whiptail Loop,92010,Juan Santana,BP rep is INACTIVE
1008441,HTF Aerospace,Encinitas,543 Encinitas Blvd.,92024,Tim Premo,BP rep is INACTIVE
1007187,Hologic,San Diego,10210 Genetic Center Dr,92121,Nicholas Tyler,BP rep is INACTIVE
1003034,Honeybee Robotics,Pasadena,,91103,Chad Swygert,BP rep is INACTIVE
