Category,MPN,Qty_Available,Price,Date_Code,Description
NAND Flash / eMMC,H26M41208HPRN,66,0,,"IC,E-MMC MODULE,8GB,2.7-3.6V,VFBGA,153P,"
NAND Flash / eMMC,MTFC32GAZAQHD-IT,1856,0,,"IC,FSD,EMMC,32G,BOOT,153-TFBGA"
NAND Flash / eMMC,MTFC8GAKAJCN-1MWT,66,0,,"IC,E-MMC MODULE,8GB,2.7-3.6V,VFBGA,153P,"
NAND Flash / eMMC,MTFC8GAKAJCN-1MWT,89,0,,"NAND Flash,H26M41204HPR,2.7V,3.3V,3.6V,8"
NAND Flash / eMMC,SDINBDG4-8G-859XA,89,0,,"NAND Flash,H26M41204HPR,2.7V,3.3V,3.6V,8"
NAND Flash / eMMC,SDINBDG4-8G-859XA,66,0,,"IC,E-MMC MODULE,8GB,2.7-3.6V,VFBGA,153P,"
EEPROM,24AA512T-I/ST,3389,0,,I2C EEPROM 512KBIT TSSOP8
EEPROM,AT24C04C-SSHM-T,10654,0,,"EEPROM,AT24C04C-SSHM-T,1.7~5.5V,4K,2-wirINTEGRATED CIRCUITS"
EEPROM,AT24C04C-SSHM-T,4521,0,,"IC,EEPROM,512KX8,SOIC8,1.7-5.5"
EEPROM,AT24C512B-TH-T,3389,0,,I2C EEPROM 512KBIT TSSOP8
EEPROM,AT24C512C-XHM-T,3389,0,,I2C EEPROM 512KBIT TSSOP8
EEPROM,AT24CM01-SSHM-T,915,0,,"IC,SEEPROM,1MBIT,SOIC8,1.8V"
EEPROM,BR24G02NUX-3TTR,54521,0,,"EEPROM,BR24G02NUX-3TTR,1.7~5.5V,2K,G,VSO"
EEPROM,CAT24C04WI-GT3,10654,0,,"EEPROM,AT24C04C-SSHM-T,1.7~5.5V,4K,2-wirINTEGRATED CIRCUITS"
EEPROM,CAT24C04WI-GT3,4521,0,,"IC,EEPROM,512KX8,SOIC8,1.7-5.5"
EEPROM,CAT24C512YI-GT3,3389,0,,I2C EEPROM 512KBIT TSSOP8
EEPROM,CAT24M01WI-GT3,915,0,,"IC,SEEPROM,1MBIT,SOIC8,1.8V"
EEPROM,M24512-RDW6TP,3389,0,,I2C EEPROM 512KBIT TSSOP8
EEPROM,M24C02-FMC6TG,30924,0,,"EEPROM,M24C02-FMC6TG,1.6V~5.5V,2K,I2C,G,"
EEPROM,M24C02-FMC6TGTGA,30924,0,,"EEPROM,M24C02-FMC6TG,1.6V~5.5V,2K,I2C,G,"
EEPROM,M24C02-RMN6TP,827,0,,"EEPROM,M24C02-RMN6TP,1.8V~5.5V"
EEPROM,M24C04-RMN6TP,10654,0.5302,,"EEPROM,AT24C04C-SSHM-T,1.7~5.5V,4K,2-wirINTEGRATED CIRCUITS"
EEPROM,M24C04-RMN6TP,4521,0,,"IC,EEPROM,512KX8,SOIC8,1.7-5.5"
EEPROM,M24C04-RMN6TP,4474,0,,"EEPROM,M24C04-RMN6TP,1.8~5.5V,4K,2-Wire"
EEPROM,M24C04-WMN6TP,2500,0,,"EEPROM,M24C04-WMN6TP,2.5V~5.5V,512*8,I2C"
EEPROM,M24M01-DFMN6TP,915,0,,"IC,SEEPROM,1MBIT,SOIC8,1.8V"
EEPROM,M24M01-RMN6TP,915,0,,"IC,SEEPROM,1MBIT,SOIC8,1.8V"
EEPROM,M34E02-FMC6TG,5000,0,,"EEPROM,M34E02-FMC6TG,1.7~5.5V,2K,I2C,G,M"
Other Memory,THGBMJG8C4LBAU8,1856,0,,"IC,FSD,EMMC,32G,BOOT,153-TFBGA"
