CPC,Awarded_MPN,BPA_MPN,Supplier,Qty,SIPOC_Price,BPA_Price,Savings_Pct,Total_Savings,SIPOC_LT,BPA_LT
"668-005463-026","67997-126HLF","67997-126HLF","DigiKey",125,2.0900,1.7356,17.0%,44.30,18w,0w
"635-102422-002","XLH536003.072000I","XLH536003.072000I","Farnell",150,2.0400,1.7544,14.0%,42.85,22w,0w
"670-285389-001","1410-L110-L1F1-S01-3.15A","1410-L110-L1F1-S01-3.15A","Sager",40,10.9350,9.9000,9.5%,41.40,12w,6w
"630-340553-001","551SCMGI","551SCMGI","DigiKey",150,1.6822,1.4244,15.3%,38.67,17w,0w
"668-277308-002","163A16159X","163A16159X","Newark",35,7.1838,6.1000,15.1%,37.93,21w,15w
"644-B64495-001","8L02-05-11","8L02-05-11","DigiKey",300,4.9500,4.8350,2.3%,34.50,19w,0w
"668-007087-015","350714-4","350714-4","Master Electronics",40,8.7850,7.9300,9.7%,34.20,24w,0w
"609-185158-001","SMCJ1.5KE30A-TP","SMCJ1.5KE30A-TP","DigiKey",630,0.3975,0.3434,13.6%,34.10,18w,0w
"670-263372-008","0216.200MXP","0216.200MXP","Arrow Americas",250,1.1535,1.0215,11.4%,33.00,25w,0w
"630-A21745-001","UC2825AQDWREP","UC2825AQDWREP","Arrow Americas",35,7.2715,6.3640,12.5%,31.76,12w,0w
"649-228171-001","B43601B5477M","B43601B5477M","DigiKey",40,13.2000,12.4117,6.0%,31.53,24w,0w
"668-033594-008","103361-6","103361-6","DigiKey",75,4.0700,3.6560,10.2%,31.05,21w,0w
"635-B65663-160","ECS-TXO-3225MV-160-TR","ECS-TXO-3225MV-160-TR","DigiKey",150,1.7550,1.5528,11.5%,30.33,23w,0w
"630-232598-001","TLC7733IPWR","TLC7733IPWR","DigiKey",150,1.8055,1.6352,9.4%,25.55,6w,0w
"630-B94226-030","CT418-HSN830DR","CT418-HSN830DR","DigiKey",105,2.3600,2.1197,10.2%,25.23,27w,0w
"631-099702-003","HFBR-2531ETZ","HFBR-2531ETZ","Farnell",15,18.3095,16.6596,9.0%,24.75,24w,0w
"648-067080-001","CKG57NX7R1H106M500JH","CKG57NX7R1H106M500JH","Mouser",80,3.2150,2.9596,7.9%,20.43,17w,0w
"630-047972-001","EPM1270T144C4N","EPM1270T144C4N","DigiKey",10,85.8300,83.9946,2.1%,18.35,17w,0w
"615-A40066-001","WSLP25124L000DEA","WSLP25124L000DEA","DigiKey",90,2.7888,2.5905,7.1%,17.84,18w,0w
"723-299192-001","SMTSO-143-4ET","SMTSO-143-4ET","Mouser",350,0.7935,0.7433,6.3%,17.59,17w,0w
"630-099973-001","ADG431BRZ","ADG431BRZ","Newark",35,7.4805,6.9900,6.6%,17.17,20w,0w
"631-099701-003","HFBR-1531ETZ","HFBR-1531ETZ","Farnell",15,17.7206,16.6596,6.0%,15.91,19w,0w
