Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
10069-1,10069-1,Epm Papst,272,N/A,,,Astute Electronics GEA Excess/Consignment,G07E02
10080054-079LF,"CONN,PLUG,HEADER,20 PIN,VERT,ROHS",FCI Deutschland GmbH,311,,,USD,Astute Electronics Inc. LAM STL,LAMTY.8.3
1008CS-472EGTS,FIXED IND 47NH 1A 160 MOHM SMD,Delta Electronics,1326,,,,Astute Electronics Inc. ATX Excess,G02C03
1008HS-181TGLC,"RF inductor, ceramic core, 2% tol, SMT,",Coilcraft Inc,1900,,,,Astute Electronics Inc. ATX Excess,G02C03
10090926-P444VLF,"CONN,D-SUB,H-DENSITY,MALE,44POSN,RTANG",Amphenol ICC,200,,,USD,Astute Electronics Inc. LAM STL,LAMTY.3.7
10090929-S154XLF,"CONN,RCPT,DSUB HD,15 POSN,2.5A,W/BD LOCK",Amphenol ICC,258,,,USD,Astute Electronics Inc. LAM STL,LAMBLK.9.16
10090929-S154XLF,"CONN,RCPT,DSUB HD,15 POSN,2.5A,W/BD LOCK",Amphenol ICC,6,20240711,1.78923,USD,Astute Electronics Inc. LAM STL,QC INSPECT
10090929-S264XLF,26POS 3ROW VERT AU D-SUB RCPT,Amphenol FCI (ICC),756,,,USD,Astute Electronics Inc. LAM STL,LAMTY.9.1
10090929-S264XLF,26POS 3ROW VERT AU D-SUB RCPT,Amphenol FCI (ICC),772,,,USD,Astute Electronics Inc. LAM STL,LAMTY.9.1
10090929-S264XLF,26POS 3ROW VERT AU D-SUB RCPT,Amphenol FCI (ICC),6,,1.81137,USD,Astute Electronics Inc. LAM STL,QC INSPECT
10090929-S444XLF,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",Amphenol ICC,338,,,USD,Astute Electronics Inc. LAM STL,LAMSHELF.5.7
10090929-S444XLF,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",Amphenol ICC,350,,,USD,Astute Electronics Inc. LAM STL,LAMTY.11.1
10090929-S444XLF,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",Amphenol ICC,100,,,USD,Astute Electronics Inc. LAM STL,LAMTY.11.1
10090929-S444XLF,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",Amphenol ICC,167,,,USD,Astute Electronics Inc. LAM STL,LAMTY.11.1
10090929-S444XLF,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",Amphenol ICC,6,,2.36522,USD,Astute Electronics Inc. LAM STL,QC INSPECT
100B-4011,SMT Transformer 10/100BASE-TX,Pulse Power & Measurement,250,1751-C,,,Astute Electronics Inc. ATX Excess,G02A02
100E680JMN3600XT,(CE/) CAP 68PF CM 3600V 5% SMD,American Technical Ceramics Corp,271,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
101247-001,"CONT,SPR PROBE,20A,17.93MM OA LG",Smiths Interconnect,48,2427,3.54,USD,Astute Electronics Inc. LAM 3PL,LAMBLK.13.18
10139085-124402LF,"CONN,SMD,PLUG,MEZZ,0.8MM,120P,7.7MM HGT",Amphenol ICC,399,2010,,USD,Astute Electronics Inc. LAM STL,LAM13.3.8
10147605-00008LF,"CONN, HEADER, 8POS, 1ROW, 1MM",Amphenol Corp,554,,,,Astute Electronics Inc.,F04C01
101S43W105KV4E,Cap Ceramic 1uF 100V X7R 10% Pad SMD 181,Johanson,28273,"1922, 1916, 1937, 2015, 1937, 1845",,,Astute Electronics TAX Excess/Consignment,ATX22L
101X15N220MV4E,"CAP,SMD,X2Y,22PF,20%,100V,0805",Johanson,3918,Inconclusive,,USD,Astute Electronics Inc. LAM STL,LAM7.7.39
10236-6212PC,"CONN,MINI-D,STR PCB MT 36 PINS,ROHS",3M,200,,,USD,Astute Electronics Inc. LAM STL,LAMBLKB.8.4
102699-2,Connector Header Through Hole 6 position,AMP,121,,,,Astute Electronics GEA Excess/Consignment,F01C03
103310-5,CONN HEADER R/A 20POS 2.54MM,TE Connectivity Ltd,279,1016,,,Astute Electronics GEA Excess/Consignment,G04B03
103JG1G,,Littlefuse Inc,1261,1923,,,Astute Electronics TAX Excess/Consignment,G07E04
103JG1G,,Littlefuse Inc,1000,2002,,,Astute Electronics TAX Excess/Consignment,G07E04
10-40450-10,GASKET,Amphenol ICC,200,,,USD,Astute Electronics Inc. ATX Excess,F03C01
10-407552-055,"Connector Accessory, Contact",Amphenol Corp,8540,,,,Astute Electronics GEA Excess/Consignment,F01E04
10-407552-15,CONTACT PIN ELECTRICAL CONNECTOR SIZE 22,Amphenol Corp,379,,,,Astute Electronics SPA Excess/Consignment,G03E03
10-497630-125,CONTACT PIN - ELECTRICAL CONNECTOR SIZE,Amphenol Corp,60,,,USD,Astute Electronics Inc. ATX Excess,G08E04
104M06QC22,(/C4) CAP 0.10UF 22OHMS 600V S,Cornell Dubilier,734,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
10-505313-072,Brush Connector,Amphenol Corp,64,2007,,,Astute Electronics GEA Excess/Consignment,G04B03
10-505404-088,Rectangular Mil Spec Connectors,Amphenol Corp,3,2115,,,Astute Electronics GEA Excess/Consignment,G07A02
1053002100,1053002100,Molex LLC,150,,,USD,Astute Electronics Inc. ATX Excess,G03A03
1053071203,1053071203,Molex LLC,50,,,USD,Astute Electronics Inc. ATX Excess,G03A03
10-565997-562A,"CONNECTOR-CIRCULAR, WALL MOUNT RECEPTACL",Amphenol Corp,14,,,,Astute Electronics Inc. ATX Excess,G05D02
10-565997-562A,"CONNECTOR-CIRCULAR, WALL MOUNT RECEPTACL",Amphenol Corp,21,2025,,USD,Astute Electronics Inc. ATX Excess,G05D02
