Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
1.5SMC18A,,"DIODE,TVS,18V ,1.5KW,SMC,ROHS",US2601190000028,LAMBLK.4.2,32.2,100,0.322,,,,,,,,100,,,,46006,,M12364,"Littelfuse, Inc.",,W111,,Astute Electronics Inc. LAM 3PL,,,,USD,,0.322,USS site,,,,,46041,,,,
1.5SMC30A,,TVS Diode Single Uni-Dir 25.6V 1.5KW 2-P,US2407310000025,LAM13.6.7,405.72,2254,0.18,,,,,,,,2254,,,,46049,,M12364,"Littelfuse, Inc.",,W111,,Astute Electronics Inc. LAM 3PL,,,,USD,2352,0.18,USS site,,,,,45504,,,,
‎1.5SMC36A‎,,"DIODE,TVS,36V ,1.5KW,SMC,ROHS",US2407230000037,LAM13.10.1,,3000,,,,,,,,,3000,,,,,,M03395,Littelfuse Inc,Diodes,W115,,Astute Electronics Inc. LAM STL,,,,USD,2229,0.17,USS site,,,,,45496,,,,
1.5TB-USD-HIGH ENDURANCE-FS,,1.5TB-USD-HIGH ENDURANCE-FS,US2408280000049,RMA,266,2,133,,2,,,3596,,,1036,,,,46049,,M04390,Phison,,W105,,Astute Electronics Inc,,,,USD,,133,USS site,,,,,45532,,,,
1.5TB-USD-HIGH ENDURANCE-FS,,1.5TB-USD-HIGH ENDURANCE-FS,US2506110000009,HK-C01,17424,176,99,,2,,,3596,,,1036,,,,46049,,M04390,Phison,,W105,,Astute Electronics Inc,,,,USD,,99,USS site,,,,,45819,,,,
1.5TB-USD-HIGH ENDURANCE-FS,,1.5TB-USD-HIGH ENDURANCE-FS,US2509190000001,HK-E03,88580,860,103,,2,,,3596,,,1036,,,,46049,,M04390,Phison,,W105,,Astute Electronics Inc,,,,USD,NA,103,USS site,,,,,45919,,,,
100-006-672-008,,CONN,PX2312280000069,F01C03,,12,,,,,,,,,12,,,,,,M05018,Samtec Inc,,W103,,Astute Electronics GEA Excess/Consignment,,,,,,,USS site,,,,,45288,,,,
10028916-4554P00LF,,TRANSFORMER  SM,US0000000015010,G04B03,,600,,,,,,,,,600,,,,,,M02097,Fci,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43039,,,,
10069-1,,10069-1,LI2206280000024,G07E02,,272,,,,,,,,,272,,,,,,M01931,Epm Papst,,W103,,Astute Electronics GEA Excess/Consignment,,,,,N/A,,USS site,,,,,44740,,,,
10080054-079LF,,"CONN,PLUG,HEADER,20 PIN,VERT,ROHS",US2406180000028,LAMTY.8.3,,311,,,,,,,,,311,,,,,,M08342,FCI Deutschland GmbH,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,2.14,USS site,,,,,45461,,,,
1008CS-472EGTS,,FIXED IND 47NH 1A 160 MOHM SMD,US0000000020579,G02C03,,1326,,,,,,,,,1326,,,,,,M09204,Delta Electronics,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43039,,,,
1008HS-181TGLC,,"RF inductor, ceramic core, 2% tol, SMT,",US0000000008790,G02C03,,1900,,,,,,,,,1900,,,,,,M01233,Coilcraft Inc,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43039,,,,
10090926-P444VLF,,"CONN,D-SUB,H-DENSITY,MALE,44POSN,RTANG",US2406180000027,LAMTY.3.7,,200,,,,,,,,,200,,,,,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,1.67,USS site,,,,,45461,,,,
10090929-S154XLF,,"CONN,RCPT,DSUB HD,15 POSN,2.5A,W/BD LOCK",US2408080000041,LAMBLK.9.16,,258,,,,,,,,,264,,,,46010,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,1.05,USS site,,,,,45512,,,,
