Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,CY7B9950AXCT,,Cypress Semiconductor Corp,520,,US2602260000030;QC INSPECT,,,,"IC CLOCK DRIVER/SYNCHRONIZER, SURFACE MO",,,,8.25,,
,CY7B9950AXIT,,Cypress Semiconductor Corp,2606,,US2508080000012;DSQR,,,,IC CLK BUFF 32TQFP,,,,12,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",3,,US2601190000146;SLS03,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",1,,US2512170000024;SLS05,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",4,,US2512170000022;SLS05,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",2,,US2512170000023;SLS05,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",5,,US2512170000018;SLS05,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",5,,US2512170000017;SLS05,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DCR1-AM,,"Sierra Safety Technology, Inc.",4,,US2512170000021;SLS05,,,,DET FLAME UV/IR 24VDC W/2LED,,,,1780,,
,DJI 240W POWER ADAPTER,,Dji,1,,US2601190000027;ATX41L,,,,DJI 240W POWER ADAPTER,,,,163.4,,
,DJI 240W POWER ADAPTER,,Dji,45,,US2602120000007;ATX71L,,,,DJI 240W POWER ADAPTER,,,,163.4,,
,DJI DOCK 3,,Dji,7,,US2601020000026;STOCK,,,,DJI DOCK 3,,,,15095.5,,
,DJI DOCK 3,,Dji,18,,US2601020000025;STOCK,,,,DJI DOCK 3,,,,15095.5,,
,DJI DOCK 3,,Dji,10,,US2512040000009;STOCK,,,,DJI DOCK 3,,,,15095.5,,
,DJI DOCK 3,,Dji,20,,US25110300045-1;STOCK,,,,DJI DOCK 3,,,,,,
,DJI DOCK 3,,Dji,12,,US2509100000010;STOCK,,,,DJI DOCK 3,,,,15095.5,,
