Lam PN,MPN,Buyer,Qty,Unit Cost,LAM Resale,Contract Resale,LAM Total Price,Price Status
"615-A74149-001","RC0402FR-070RL","Tracy Xie",10000,0.0003,0.0014,0.0018,14.46,18.0% diff
"615-123462-105","RC0402FR-0710K5L","Tracy Xie",10000,0.0003,0.0026,0.0031,25.74,18.0% diff
"615-123463-120","RC0402FR-07120KL","Tracy Xie",10000,0.0003,0.0037,0.0045,36.77,18.0% diff
"615-123463-124","RC0402FR-07124KL","Tracy Xie",10000,0.0003,0.0037,0.0045,36.77,18.0% diff
"615-123462-127","RC0402FR-0712K7L","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123461-102","RC0402FR-071K02L","Tracy Xie",10000,0.0003,0.0018,0.0022,18.14,18.0% diff
"615-123461-115","RC0402FR-071K15L","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123461-169","RC0402FR-071K69L","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123462-220","RC0402FR-0722KL","Tracy Xie",10000,0.0003,0.0026,0.0031,25.74,18.0% diff
"615-233527-001","RC0402FR-0722RL","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123458-249","RC0402FR-072R49L","Tracy Xie",10000,0.0006,0.0049,0.0060,49.02,18.0% diff
"615-123460-348","RC0402FR-07348RL","Tracy Xie",10000,0.0003,0.0055,0.0067,54.66,18.0% diff
"615-123461-402","RC0402FR-074K02L","Tracy Xie",10000,0.0003,0.0033,0.0040,32.60,18.0% diff
"615-123459-523","RC0402FR-0752R3L","Tracy Xie",10000,0.0003,0.0018,0.0022,18.14,18.0% diff
"615-123461-590","RC0402FR-075K9L","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123458-511","RC0402FR-075R11L","Tracy Xie",9020,0.0006,0.0061,0.0075,55.27,18.0% diff
"615-123458-825","RC0402FR-078R25L","Tracy Xie",10000,0.0006,0.0049,0.0060,49.02,18.0% diff
"28-426179-00","RC0603FR-0710KL","Tracy Xie",10000,0.0005,0.0036,0.0044,36.27,18.0% diff
"615-068562-100","RC0603FR-071ML","Tracy Xie",5000,0.0005,0.0049,0.0060,24.51,18.0% diff
"615-301314-001","RC0603FR-074K7L","Tracy Xie",5000,0.0005,0.0037,0.0045,18.39,18.0% diff
"615-051883-220","RC0603JR-0722RL","Tracy Xie",5000,0.0004,0.0031,0.0038,15.44,18.0% diff
"615-901300-150","RC0805FR-07150RL","Tracy Xie",4900,0.0009,0.0060,0.0074,29.54,18.0% diff
"615-901302-221","RC0805FR-0722K1L","Tracy Xie",5000,0.0009,0.0061,0.0075,30.64,18.0% diff
"615-901294-104","RC0805JR-07100KL","Tracy Xie",5000,0.0007,0.0037,0.0045,18.39,18.0% diff
"615-901294-681","RC0805JR-07680RL","Tracy Xie",5000,0.0007,0.0049,0.0060,24.51,18.0% diff
"615-032231-040","RC1206JR-070RL","Tracy Xie",5000,0.0013,0.0061,0.0075,30.64,18.0% diff
"630-280302-001","W25Q128JVSIQ","Tracy Xie",1985,0.2700,1.2503,1.5247,2481.81,18.0% diff
