CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
5735899-340,6,VQ,OVER,10.92,1200,XC7A15T1FGG484I,"Presemis Technology Co., Ltd",13.3,600,22+,15.647059,15.647059,-43.3,1408.24,-1428.00,50.0%,13104.00,Medium,-14,1,Plexus Corp. (Shortage) $17.35 01/21 (5x),
5736582-825,2,VQ,OVER,25.675,420,LTM4630EY1APBF,"Xin Jun Hong (HK) Industry Co., Ltd",32,180,23+,37.647059,38.902500,-46.6,1016.47,-1138.50,42.9%,10783.50,High,5,4,Plexus Corp. (PPV) $40.95 02/06 (2x) | Plexus Corp. (Shortage) $39.50 12/12 (1x),
201523-F-274,2,VQ,OVER,3.2045,2000,TM4C1294KCPDTI3R,"Original Chip Source Electronics Co., Limited",4,2000,25+,4.705882,4.705882,-46.9,1411.76,-1591.00,100.0%,6409.00,High,6,1,Plexus Corp. (PPV) $4.90 02/10 (1x) | Plexus Corp. (Shortage) $4.93 12/16 (2x),
M1046051-825,2,VQ,OVER,0.325,3000,DP83848IVVXNOPB,Dynamic Domain PTE Ltd,0.4,5000,23+,0.483333,0.617500,-48.7,250.00,-225.00,166.7%,975.00,High,4,1,Plexus Corp. (PPV) $0.65 02/08 (2x),
5331904-3-825,1,VQ,OVER,578.5,48,EP4SGX180HF35C4G,Dutch Valley,746,96,22+,877.647059,877.647059,-51.7,6319.06,-8040.00,200.0%,27768.00,Medium,-7,3,Plexus Corp. (Shortage) $890.00 11/20 (6x),
5214702-16-825,1,VQ,OVER,8.125,1200,EP3C5F256C8N,Risetech Technology (HK) Ltd,10.6,1080,23+,12.470588,12.470588,-53.5,2020.24,-2673.00,90.0%,9750.00,High,4,1,Plexus Corp. (PPV) $12.90 02/06 (1x) | Plexus Corp. (Shortage) $12.50 10/30 (1x),
5797254-825,2,VQ,OVER,5.7655,1000,ADRF5040BCPZR7,Fixchips Global Limited,7.96,1000,25+,9.364706,9.364706,-62.4,1404.71,-2194.50,100.0%,5765.50,High,4,1,Plexus Corp. (PPV) $9.60 02/06 (1x),
2000914-001-825,7,VQ,OVER,0.33605,10000,OPA2197IDGKR,Fixchips Global Limited,0.482,10000,23+,0.567059,0.598500,-68.7,850.59,-1459.50,100.0%,3360.50,High,6,1,Plexus Corp. (PPV) $0.63 02/10 (1x),
168265-274,2,VQ,OVER,1.885,1000,ADUM4160BRWZRL,A-Power Electronic Asia Ltd,2.75,1000,25+,3.235294,4.037500,-71.6,485.29,-865.00,100.0%,1885.00,High,6,1,Plexus Corp. (PPV) $4.25 02/10 (1x) | Plexus Corp. (Shortage) $3.15 06/30 (1x) | Plexus Corp. (?) $2.90 03/17 (1x),
5393941-7-825,1,VQ,OVER,9.8475,480,EP4CE30F23C8N,WeTech International Ltd,14.85,600,23+,17.470588,17.470588,-77.4,1257.88,-2401.20,125.0%,4726.80,Medium,-7,13,Plexus Corp. (Shortage) $15.85 08/01 (2x) | Plexus Corp. (PPV) $14.50 06/27 (1x),
5735900-340,6,VQ,OVER,14.3,1200,XC7A75T2FGG676I,HK Firsttop Technology Ltd,21.6,600,21+,25.411765,25.411765,-77.7,2287.06,-4380.00,50.0%,17160.00,Medium,-14,1,Plexus Corp. (Shortage) $27.50 01/21 (5x) | Plexus Corp. (PPV) $24.35 10/30 (1x) | Plexus Corp. (?) $22.00 03/10 (1x),
5391889-825,3,VQ,OVER,2.145,15000,LMH6517SQXNOPB,"SourceOne electronics Co., Limited",3.75,2559,16+,4.411765,4.411765,-105.7,1693.46,-4107.20,17.1%,32175.00,High,1,1,Plexus Corp. (Shortage) $5.30 02/05 (1x) | Plexus Corp. (PPV) $4.35 11/18 (3x) | Plexus Corp. (?) $3.30 02/28 (2x),
5445195-6-825,1,VQ,OVER,18.395,480,5CEBA5F23C7N,Southchip Limited,33.42,589,22+,39.317647,41.325000,-113.7,2830.87,-7212.00,122.7%,8829.60,Medium,-7,15,Plexus Corp. (PPV) $43.50 02/08 (3x) | Plexus Corp. (Shortage) $28.00 05/06 (1x),
5144865-340,2,VQ,OVER,2.392,2000,AD7683BRMZRL7,Fixchips Global Limited,4.45,2000,23+,5.235294,5.235294,-118.9,1570.59,-4116.00,100.0%,4784.00,High,4,1,Plexus Corp. (Shortage) $3.50 11/27 (1x),
5402763-340,2,Stock,CHECK WITH JAKE,0.24635,30000,TPS74401RGWR,Stock - Austin Warehouse,,2155,13+,,,,,,7.2%,7390.50,Stock,,0,,2025-07-21
