COV,CO Number,Invoice Date,Invoice Number,MPN,Customer Item,Description,Qty,Actual Unit Cost,Total Line Cost,Unit Sell Price,Line Total,Buyer,Contract Base (Unit),Contract Base (Total),Effective Revenue,Buyer GP,Billing Variance,Type
COV0019122,StaleInvQ32025,45930,IN0000024711,M-542CT,639-A57204-001,"IDCTR,SMD,200UH,50VDC,0.120 OHM,0.5A",1000,1.879,1879,0,0,Danyel Martinez,1.7157,1715.7,1715.7,-163.3,-1715.7,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,DW-25-07-G-D-200,668-A93181-050,"CONN,HDR,BD STACK,50PIN,VERT,2ROW,2.54MM",500,3.68,1840,0,0,Jake Harris,8.174085,4087.0425,4087.0425,2247.0425,-4087.0425,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,1410-G110-L2F1-S01-4A,670-265857-007,"CB,THRM,1P,4A,28 VDC,240 VAC,PCB MTG",196,9.2266,1808.4136,0,0,Jake Harris,9.089901,1781.620596,1781.620596,-26.793004,-1781.620596,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TCA9539RTWR,630-232594-001,"I/O Expanders Rem 16B I2C & SMBus Low-Pwr
",3000,0.59,1770,0,0,Jake Harris,0.791673,2375.019,2375.019,605.019,-2375.019,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,SUD50P04-09L-E3,626-A32953-001,"XSTR,SMD,MOSFET,P-CHAN,40VDS,50A,TO-252",2000,0.885,1770,0,0,Stephanie Hill,1.12746,2254.92,2254.92,484.92,-2254.92,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LT6654AHS6-3.3#TRMPBF,630-B28359-001,"IC,SMD,V REF,3.3VOUT,TSOT-23-6",499,3.5,1746.5,0,0,Tracy Xie,4.935358,2462.743642,2462.743642,716.243642,-2462.743642,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,6-104910-4,668-B33497-015,"CONN,HDR,PCB,3A,600V,15PIN,SHRD,VERT,BLK",1001,1.73,1731.73,0,0,Jake Harris,2.532925,2535.457925,2535.457925,803.727925,-2535.457925,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TSM4YJ105KR05,608-114716-106,"RES,SMD,POT,1M,10%,MULTI TURN",500,3.444,1722,0,0,Jake Harris,4.987785,2493.8925,2493.8925,771.8925,-2493.8925,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,K42X-E9S/P-A4N,668-259275-004,"CONN,DSUB,DUAL PORT,9P/9P,F/M,ROHS",270,6.321,1706.67,0,0,Danyel Martinez,6.227501,1681.42527,1681.42527,-25.24473,-1681.42527,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,GRF1-J-P-08-E-RA-TH1-E,668-244954-004,"CONN,RA,JACK,RF,8POS",55,30.68,1687.4,0,0,Jake Harris,34.578463,1901.815465,1901.815465,214.415465,-1901.815465,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,3008W8SXX69E40X,668-111554-008,"CONN,RCPT,D-SUB,POWER,8P,ROHS",100,16.863,1686.3,0,0,Jake Harris,23.468325,2346.8325,2346.8325,660.5325,-2346.8325,NRE
