COV,CO Number,MPN Ordered,Customer Part Code,Description,Qty,Contract Base Price,Contract Resale,Expected Unit Profit,Contract Total Base,Contract Total Resale,Expected Total Profit,Actual Unit Cost,Actual Total Cost,Sell Price,Line Total,GP Profit,Purchased By,Actual Purchase Price,Base Price Variance,Resale vs Actual Variance,Matched
COV0019122,StaleInvQ32025,"GRF1-J-P-08-E-RA-TH1-E",668-244954-004,"CONN,RA,JACK,RF,8POS",55,34.578463,42.168857317073176,7.5903943170731765,1901.815465,2319.287152439025,417.4716874390247,30.68,1687.4,0,0,-1687.4,Jake Harris,30.68,-3.8984629999999996,631.8871524390247,true
COV0019122,StaleInvQ32025,"3008W8SXX69E40X",668-111554-008,"CONN,RCPT,D-SUB,POWER,8P,ROHS",100,23.468325,28.619908536585367,5.151583536585367,2346.8325,2861.9908536585367,515.1583536585367,16.863,1686.3,0,0,-1686.3,Jake Harris,16.863,-6.605325000000001,1175.6908536585368,true
COV0019122,StaleInvQ32025,"INA128U/2K5",630-089742-001,"Precision, 130-dB CMRR, 700-µA, Low-Power, Instrumentation A",250,7.8432,9.56487804878049,1.7216780487804888,1960.8000000000002,2391.219512195122,430.4195121951222,6.743,1685.75,0,0,-1685.75,Jake Harris,6.743,-1.1002,705.4695121951222,true
COV0019122,StaleInvQ32025,"LM2907MX-8/NOPB",630-148462-001,"IC,SMD,F/V CONVERTOR",2325,0.919125,1.1208841463414634,0.2017591463414634,2136.965625,2606.0556402439024,469.0900152439024,0.721,1676.325,0,0,-1676.325,Jake Harris,0.721,-0.198125,929.7306402439024,true
COV0019122,StaleInvQ32025,"34.81.7.024.9024",644-347685-024,"RLY,SSR,1 NO,24VDC INPUT,24VDC,6A,SIP-4",100,16.477705,20.09476219512195,3.6170571951219515,1647.7705,2009.4762195121953,361.7057195121952,16.726,1672.6,0,0,-1672.6,Danyel Martinez,16.7256,0.24829499999999882,336.87621951219535,true
COV0019122,StaleInvQ32025,"76HPSB10GWRT",646-130453-010,"SW,SMD,DIP STRAIGHT 10 POLES,ROHS",487,3.775839,4.604681707317074,0.8288427073170737,1838.833593,2242.479991463415,403.64639846341487,3.4,1655.8,0,0,-1655.8,Stephanie Hill,3.4,-0.37583900000000003,586.679991463415,true
COV0019122,StaleInvQ32025,"13-000121",39-164229-07,"CONN, DSUB,7W2_M,PCB STRT,4-40",197,11.686674,14.252041463414635,2.565367463414635,2302.274778,2807.652168292683,505.37739029268306,8.34,1642.98,0,0,-1642.98,Jake Harris,8.34,-3.346674,1164.6721682926832,true
COV0019122,StaleInvQ32025,"180-078-113R001",668-A26900-078,"CONN,PLUG,D-SUB,HD,78POSN,STR,3A,SLDR",187,8.468205,10.327079268292684,1.8588742682926842,1583.5543349999998,1931.1638231707318,347.60948817073194,8.64,1615.68,0,0,-1615.68,Jake Harris,8.64,0.17179500000000125,315.48382317073174,true
COV0019122,StaleInvQ32025,"IAUC80N04S6L032ATMA1",626-A73824-001,"XSTR,SMD,MOSFET,N-CHAN,40V,80A,TDSON-8",4885,0.34314,0.4184634146341464,0.07532341463414638,1676.2389,2044.193780487805,367.95488048780504,0.33048,1614.3948,0,0,-1614.3948,Edgar Santana,0.3888,-0.012660000000000005,429.798980487805,true
COV0019122,StaleInvQ32025,"747846-4",668-098490-025,"CONN,RCPT 25P D-SUB RTANG",249,7.99026,9.744219512195123,1.7539595121951228,1989.57474,2426.310658536586,436.7359185365856,6.48,1613.52,0,0,-1613.52,Jake Harris,6.48,-1.5102599999999997,812.7906585365859,true
COV0019122,StaleInvQ32025,"WT21S",645-A79390-001,"SW,TGL,DPST,250V/6A,SLDR TERM,SEALED",101,15.700616,19.147092682926832,3.446476682926832,1585.762216,1933.85636097561,348.09414497561005,15.937,1609.637,0,0,-1609.637,Jake Harris,15.9368,0.23638399999999926,324.21936097561,true
COV0019122,StaleInvQ32025,"DAMC3H3PJK87",39-193848-00,"CONN,COMBO-D,PLUG,3PIN,R/A,THROUGH HOLE",70,41.44641,50.544402439024395,9.097992439024395,2901.2487,3538.1081707317076,636.8594707317077,22.59,1581.3,0,0,-1581.3,Stephanie Hill,22.59,-18.85641,1956.8081707317076,true
COV0019122,StaleInvQ32025,"3296W-1-505LF",621-095110-505,"POT TRIM,5MEG,25T,PCMT,ROHS",1500,1.074764,1.3106878048780488,0.23592380487804876,1612.1460000000002,1966.0317073170731,353.8857073170731,1.05,1575,0,0,-1575,Jake Harris,0.98375,-0.024764000000000008,391.03170731707314,true
COV0019122,StaleInvQ32025,"R05C05TE05SR",660-B05108-001,"PS,DC-DC,4.5-5.5VINPUT,5VOUT,0.5W,SOIC16",500,3.524391,4.298037804878049,0.7736468048780494,1762.1955,2149.0189024390247,386.8234024390247,3.143,1571.5,0,0,-1571.5,Stephanie Hill,3.143,-0.38139100000000026,577.5189024390247,true
COV0019122,StaleInvQ32025,"TGHHV5R00JE",618-B36870-050,"RES CHAS MNT 5 OHM 5% 120W 
",60,28.304393,34.51755243902439,6.213159439024391,1698.26358,2071.0531463414636,372.78956634146346,26.1418,1568.508,0,0,-1568.508,Danyel Martinez,26.1418,-2.162593000000001,502.5451463414636,true
COV0020327,LamStaleInv123125,"PATT0603E2002BGT1",615-224835-014,"RES,0603,THIN FILM,0.1%,25 PPM,0.15W,20K",626,0.523485,0.6383963414634146,0.11491134146341464,327.70160999999996,399.63610975609754,71.93449975609757,2.5,1565,0,0,-1565,Danyel Martinez,2.5,1.976515,-1165.3638902439025,true
COV0019122,StaleInvQ32025,"T530D337M006ATE010",648-B12344-001,"CAP,TANT,ELCTLT,6.3VDC,330UF,20%,7343",500,2.81865,3.437378048780488,0.618728048780488,1409.325,1718.689024390244,309.364024390244,3.1,1550,0,0,-1550,Stephanie Hill,3.1,0.2813500000000002,168.68902439024396,true
COV0019122,StaleInvQ32025,"LVK12R050CER",615-A72231-005,"RES,SMD,CUR SNS,.05OHM,0.25%TOL,.5W,1206",4900,0.31015,0.3782317073170732,0.06808170731707319,1519.735,1853.3353658536585,333.6003658536586,0.31481,1542.569,0,0,-1542.569,Danyel Martinez,0.3185,0.0046599999999999975,310.7663658536585,true
COV0019122,StaleInvQ32025,"3003W3SXX69E40X",668-111554-003,"CONN,RCPT,D-SUB,POWER,3P,ROHS",200,11.67176,14.233853658536587,2.562093658536586,2334.3520000000003,2846.7707317073173,512.4187317073172,7.61,1522,0,0,-1522,Jake Harris,7.61,-4.0617600000000005,1324.7707317073173,true
COV0019122,StaleInvQ32025,"CC12H1.5A-TR",682-349233-019,"Surface Mount Fuses 1.5A TR Chip Fuse",3000,0.503681,0.6142451219512196,0.11056412195121956,1511.0430000000001,1842.7353658536588,331.6923658536587,0.506,1518,0,0,-1518,Stephanie Hill,0.506,0.00231899999999996,324.7353658536588,true
COV0019122,StaleInvQ32025,"ATQR15",670-037698-040,"Mersen ATQR FIBREGLASS CARTRID GE FUSE, 15A SPEED TT, 10 x 3",100,48.3588,58.974146341463424,10.615346341463422,4835.88,5897.414634146342,1061.5346341463421,15.12589,1512.589,0,0,-1512.589,Jake Harris,14.77,-33.232910000000004,4384.825634146342,true
COV0019122,StaleInvQ32025,"CBD7W2F57R7N0X/AA",668-282338-001,"CONN,COMBO-D,7W2,FEM,PCB,RA",60,42.028523,51.254296341463416,9.225773341463416,2521.71138,3075.257780487805,553.5464004878049,24.9,1494,0,0,-1494,Jake Harris,24.9,-17.128523,1581.2577804878051,true
COV0019122,StaleInvQ32025,"20TQC100MYF",648-237639-001,"CAP 100UF TT 20V 20% 7343",2499,1.311285,1.599128048780488,0.28784304878048794,3276.901215,3996.2209939024397,719.3197789024393,0.586,1464.414,0,0,-1464.414,Edgar Santana,0.58638,-0.7252850000000001,2531.80699390244,true
