Part Number,Description,MPN Quoted,Lam Product,Consumable Y/N,Critical Y/N,Shelf Life (MSL),Lead time (wks),SPQ/MOQ,Base Unit Price,18% Markup,TOTAL VALUE,COO,HTS Code,Rate,Tariff
630-108123-001,"IC,SMD,INST AMP,PROG GAIN,PGA204AU",IC,3,,21,200,15.01554,659.21870,3662.32610,,,,
630-A94433-001,"IC,SMD,DIFF COMPARATOR,3.5-30V,SOIC-8",IC,1,,9,2500,1.19119,653.69963,3631.66463,,,,
668-B33354-002,"CONN,HDR,SHRD,PCB,VERT,1ROW,2POSN,3A",CONN,1,,14,1600,1.85051,649.93346,3610.74146,,,,
668-105495-007,"CONN,RCPT,DSUB,F/M,RA,2PIN,15A",CONN,1,,15,210,14.04484,647.43301,3596.85004,,,,
626-B09702-001,"XSTR,SMD,FIELD EFT,N-CH,200V,TO-268HV",XSTR,1,,43,210,13.83590,637.80101,3543.33896,,,,
39-193848-00,"CONN,COMBO-D,PLUG,3PIN,R/A,THROUGH HOLE",CONN,N/A,,20,70,41.44641,636.85947,3538.10817,,,,
632-A91703-001,"RLY,DPDT,24VDC,5A,SMT MTG,GULL WING",RLY,3,,29,1000,2.88360,632.98580,3516.58780,,,,
626-A73827-001,"XSTR,SMD,MOSFET,N-CHAN,40V,100A,TDSON-8",XSTR,1,,21,5000,0.57108,626.79841,3482.21341,,,,
630-333296-002,"IC,SMD,LV I2C SW W/RESET,8-CHAN,VQFN-24",IC,2,,3,3000,0.94118,619.80410,3443.35610,,,,
630-A89300-001,"IC,SMD,ADC,12BIT,1-MSPS,16CHAN,TSSOP-38",IC,2,,3,500,5.61279,616.03793,3422.43293,,,,
668-335595-001,"CONN,RCPT,DSUB HD,26 POSN,2.5A,W/BD LOCK",CONN,1,,13,1540,1.81374,613.13260,3406.29220,,,,
630-337827-001,"IC,SMD,PHOTOCOUPLER,1 CKT,3.3V/5V,HS,SO6",IC,1,,39,3000,0.92648,610.11966,3389.55366,,,,
668-307568-026,"CONN,RCPT,D-SUB,PCB,26 PIN,RTANG,5A MAX",CONN,1,,42,100,27.64017,606.73548,3370.75268,,,,
609-A71211-001,"DIO,SMD,SCHOTTKY,790MV,15A,TO-277-3",DIO,1,,29,5000,0.54535,598.55268,3325.29268,,,,
668-A96865-060,"CONN,RCPT,CARD EDGE,60POSN,1200VAC,3A",CONN,1,,21,250,10.68685,586.47348,3258.18598,CHINA,8536694040,35%,935.10
670-006780-036,"FUSE .25x1.25 8A 250VAC,ROHS",FUSE,N/A,,20,1000,2.67159,586.44659,3258.03659,,,,
667-A11760-160,"CONN,SMD,VITA57.1 FMC MEZZ LPC,160POS,PB",CONN,1,,10,200,13.14962,577.30017,3207.22317,,,,
639-235679-001,"XMFR,SMD,1:1,0.25-750MHZ,0.25A,0.58DB",XMFR,N/A,,3,750,3.50493,577.03116,3205.72866,,,,
668-335595-003,"CONN,RCPT,DSUB HD,44 POSN,2.5A,W/BD LOCK",CONN,1,,15,1100,2.36522,571.11289,3172.84939,,,,
626-A76438-001,"XSTR,SMD,FIELD EFT,N-CHAN,40V,50A,D-PAK",XSTR,1,,16,2500,1.04000,570.73171,3170.73171,,,,
668-A97216-001,"CONN,RCPT,RF,SMA,480V,50 OHM,STR,PCB MT",CONN,1,,15,500,5.15936,566.27067,3145.94817,,,,
670-037698-039,"FUSE,CLASS CC,600V,TIME DLY,12 AMP",FUSE,N/A,,17,50,51.28399,562.87305,3127.07250,,,,
664-122320-001,"LED,SMD,3 WAY ALINGAP/INGAN R/G/B 1210",LED,3,,11,3000,0.85417,562.50417,3125.02317,,,,
34-148402-00,"RELAY,SPST,24VDC,PWR PCB,OMRON",RLY,N/A,,41,500,5.08583,558.20030,3101.11280,,,,
668-132368-025,"CONN,DSUB,RCPT,VERT PCB,SOLDER,25P,ROHS",CONN,N/A,,28,250,10.16376,557.76721,3098.70671,,,,
668-282338-001,"CONN,COMBO-D,7W2,FEM,PCB,RA",CONN,N/A,,17,60,42.02852,553.54640,3075.25778,,,,
630-144359-001,"IC,SMD,DC-DC CONV,6V-42V,2A",IC,3,,9,250,10.02459,550.12994,3056.27744,,,,
630-280302-001,"IC,SMD,FLASH,128MBIT,3.3V,8SOIC",IC,3,,3,2000,1.25028,548.90341,3049.46341,,,,
608-114716-106,"RES,SMD,POT,1M,10%,MULTI TURN",RES,N/A,,25,500,4.98779,547.43982,3041.33232,,,,
609-290805-001,"DIO,SMD,ZENER,TVS,3.3VWM,13VC",DIO,1,,16,10000,0.24876,546.06732,3033.70732,,,,
630-B28359-001,"IC,SMD,V REF,3.3VOUT,TSOT-23-6",IC,1,,14,500,4.93536,541.68563,3009.36463,,,,
668-A40315-040,"CONN,FFC/FPC,BOT CONT,.5MM,40CKT,.5A,50V",CONN,1,,3,3000,0.81953,539.68983,2998.27683,,,,
630-248785-001,"IC,SMD,DAC,16-BIT,8CHAN,QFN32,0-70DEG C",IC,1,,16,60,40.67435,535.71089,2976.17159,,,,
639-243085-001,"XFMR,SMD,WIDEBAND,1:2, 0.2-500MHZ,1/4W",XFMR,,,14,600,3.99513,526.18785,2923.26585,,,,
668-111554-005,"CONN,RCPT,D-SUB,POWER,5P,ROHS",CONN,1,,10,140,17.02220,523.12111,2906.22841,,,,
660-229191-001,"PS,36VIN,8.5V BUCK-BOOST UMODULE,ROHS",PS,N/A,,16,60,39.70620,522.95971,2905.33171,,,,
630-232594-001,"IC,SMD,I/O,EXPANDER,I2C,16B",IC,1,,3,3000,0.79167,521.34563,2896.36463,,,,
668-B33497-015,"CONN,HDR,PCB,3A,600V,15PIN,SHRD,VERT,BLK",CONN,1,,12,936,2.53293,520.42342,2891.24122,,,,
668-244809-001,"TRANSMITTER,FIBRE OPTIC CONN,685NM,10MBD",TRANSMITTER,3,,31,200,11.83833,519.73156,2887.39756,,,,
668-111554-008,"CONN,RCPT,D-SUB,POWER,8P,ROHS",CONN,1,,29,100,23.46833,515.15835,2861.99085,,,,
39-164229-07,"CONN, DSUB,7W2_M,PCB STRT,4-40",CONN,N/A,,15,200,11.68667,513.07349,2850.40829,,,,
668-111554-003,"CONN,RCPT,D-SUB,POWER,3P,ROHS",CONN,1,,3,200,11.67176,512.41873,2846.77073,,,,
630-B32583-001,"IC,SMD,BUS XCVR,24P,8BIT,3.6V,VQFN",IC,1,,3,3000,0.77373,509.53083,2830.72683,,,,
630-148462-001,"IC,SMD,F/V CONVERTOR",IC,1,,9,2500,0.91913,504.39787,2802.21037,,,,
668-A26901-078,"CONN,RCPT,D-SUB,HD,78POSN,STR,3A,SLDR",CONN,1,,19,250,9.19125,504.39787,2802.21037,,,,
618-B36776-250,"RES,THK FILM,25 OHM,5%,200W,SOT227",RES,N/A,,20,50,45.82145,502.91830,2793.99055,,,,
667-160101-002,"CONN,SMD,HDR,2 ROW,0.8MM,120POSN,7.7MM",CONN,1,,9,400,5.71083,501.43873,2785.77073,,,,
668-A96422-010,"CONN,RCPT,CARD EDGE,10POSN,1200VAC,3A",CONN,1,,19,400,5.67407,498.21059,2767.83659,,,,
626-A32953-001,"XSTR,SMD,MOSFET,P-CHAN,40VDS,50A,TO-252",XSTR,1,,3,2000,1.12746,494.98244,2749.90244,,,,
667-A43906-010,"CONN,SMD,HDR,10PIN,1ROW,.8MM PITCH,RTANG",CONN,1,,19,3500,0.64397,494.75744,2748.65244,,,,
618-B36776-102,"RES,THK FILM,1K OHM,5%,200W,SOT227",RES,N/A,,20,60,37.24380,490.52810,2725.15610,,,,
667-A20844-002,"CONN,SMD,PLUG,MEZZ,0.8MM,120P,7.7MM HGT",CONN,1,,12,400,5.54205,486.61938,2703.44098,,,,
668-325823-001,"CONN,PLUG,DSUB,RT. ANGLE,3 PIN,30A",CONN,1,,11,400,5.51475,484.22195,2690.12195,,,,
39-267683-00,"CONN,COMBO-D,7W2,FEM,PCB,STRT,NO JACKS",CONN,N/A,,3,100,21.83841,479.37973,2663.22073,,,,
