Item,Source,CO Number,Line,Customer Name,Number,Invoiced,Line Sell Value,Line Cost,GP,GP%,External,Internal,Area,Vendor Name
DAMZ-15S-N-A197,Inventory,COV0015989,7,Naprotek LLC,C005002,25 October 2024,155.22,107.16,48.06,30.96%,joshsyre,Texas,
ERJ-8BQFR51V,Inventory,COV0015989,3,Naprotek LLC,C005002,25 October 2024,6.00,4.10,1.90,31.67%,joshsyre,Texas,
ERJ-8BSFR16V,Inventory,COV0015989,2,Naprotek LLC,C005002,25 October 2024,13.00,10.24,2.76,21.23%,joshsyre,Texas,
IXTT120N15P,Inventory,COV0015989,5,Naprotek LLC,C005002,25 October 2024,199.40,121.20,78.20,39.22%,joshsyre,Texas,
LTC4231IMS-2#PBF,Inventory,COV0015989,6,Naprotek LLC,C005002,25 October 2024,203.40,186.12,17.28,8.50%,joshsyre,Texas,
PMR18EZPJU9L0,Inventory,COV0015989,4,Naprotek LLC,C005002,25 October 2024,17.00,13.60,3.40,20.00%,joshsyre,Texas,
RC1206FR-0720KL,Inventory,COV0015989,1,Naprotek LLC,C005002,25 October 2024,0.95,0.23,0.72,75.89%,joshsyre,Texas,
RUEF400,Inventory,COV0015989,9,Naprotek LLC,C005002,25 October 2024,7.80,4.90,2.90,37.18%,joshsyre,Texas,
302W2CPXX71E40X,Inventory,COV0015990,1,Naprotek LLC,C005002,28 October 2024,108.80,73.60,35.20,32.35%,joshsyre,Texas,
302W2CPXX71E40X,Inventory,COV0016026,4,Naprotek LLC,C005002,30 October 2024,108.80,73.60,35.20,32.35%,joshsyre,Texas,
DAMZ-15S-N-A197,Inventory,COV0016026,5,Naprotek LLC,C005002,30 October 2024,181.09,125.02,56.07,30.96%,joshsyre,Texas,
LM4040AIM3-2.5/NOPB,Inventory,COV0016026,1,Naprotek LLC,C005002,30 October 2024,57.00,27.00,30.00,52.63%,joshsyre,Texas,
MBR140SFT1G,Inventory,COV0016026,3,Naprotek LLC,C005002,30 October 2024,3.60,2.55,1.05,29.08%,joshsyre,Texas,
SMBJ13A,Inventory,COV0016026,2,Naprotek LLC,C005002,30 October 2024,5.50,2.35,3.16,57.36%,joshsyre,Texas,
IXTT120N15P,Inventory,COV0016041,2,Naprotek LLC,C005002,31 October 2024,99.70,60.60,39.10,39.22%,joshsyre,Texas,
